section,category,templates,routes,Home,About,Contact,Integrations,Blog index,Blog post,Case study,Legal,Not found
shell.announcement-bar,SHELL,9,47,x,x,x,x,x,x,x,x,x
shell.navbar,SHELL,9,47,x,x,x,x,x,x,x,x,x
shell.footer,SHELL,9,47,x,x,x,x,x,x,x,x,x
shell.cookie-banner,SHELL,9,47,x,x,x,x,x,x,x,x,x
shell.page-lines,SHELL,5,42,,,,x,x,x,x,,x
cta.join,CTA,5,42,,x,,x,x,x,x,,
content.article-body,CONTENT,2,39,,,,,,x,x,,
cta.ci-cta,CTA,2,39,,,,,,x,x,,
hero.blog-post,HERO,1,21,,,,,,x,,,
content.blog-faq,FAQ,1,21,,,,,,x,,,
hero.case-study,HERO,1,18,,,,,,,x,,
content.related-case-studies,CONTENT,1,18,,,,,,,x,,
hero.legal,HERO,1,2,,,,,,,,x,
content.legal-body,CONTENT,1,2,,,,,,,,x,
hero.home,HERO,1,1,x,,,,,,,,
hero.about,HERO,1,1,,x,,,,,,,
hero.contact,HERO,1,1,,,x,,,,,,
hero.integrations,HERO,1,1,,,,x,,,,,
hero.blogs-index,HERO,1,1,,,,,x,,,,
proof.logo-strip,PROOF,1,1,x,,,,,,,,
proof.testimonials,PROOF,1,1,x,,,,,,,,
proof.our-mission,PROOF,1,1,,x,,,,,,,
proof.our-values,PROOF,1,1,,x,,,,,,,
proof.the-team,PROOF,1,1,,x,,,,,,,
feature.platform-features,FEATURE,1,1,x,,,,,,,,
feature.product-overview,FEATURE,1,1,x,,,,,,,,
feature.enterprise,FEATURE,1,1,x,,,,,,,,
content.integrations-faq,FAQ,1,1,x,,,,,,,,
content.open-roles,CONTENT,1,1,,x,,,,,,,
content.contact-form,CONTENT,1,1,,,x,,,,,,
content.integrations-list,CONTENT,1,1,,,,x,,,,,
content.blog-grid,CONTENT,1,1,,,,,x,,,,
content.not-found,CONTENT,1,1,,,,,,,,,x
cta.closing,CTA,1,1,x,,,,,,,,
ROUTE COUNT,,,47,1,1,1,1,1,21,18,2,1
